2587G3,2710G3,2711AG3,DWTRG3,2023G3,2024G3,eV
0,0,0,0,0,0,20
0,0,0,0,0,0,40
0,0,0,0,0,0,60
0,0,0,0,0,0,80
0,0,0,0,0,0,100
0,0,0,0,0,0,120
0,0,0,0,0,0,140
0,0,0,0,0,0,160
0,0,0,0,0,0,180
0,0,0,0,0,0,200
0,0,0,0,0,0,220
0,0,0,0,0,0,240
0,0,0,0,0,0,260
0,0,0,0,0,0,280
0,0,0,0,0,0,300
0,0,0,0,0,0,320
0,0,0,0,0,0,340
0,0,0,0,0,0,360
0,0,0,0,0,0,380
0,0,0,0,0,0,400
0,0,0,0,0,0,420
0,0,0,0,0,0,440
0,0,0,0,0,0,460
0,0,0,0,0,0,480
0,0,0,0,0,0,500
0,0,0,0,0,0,520
0,0,0,0,0,0,540
0,0,0,0,0,0,560
0,0,0,0,0,0,580
0,0,0,0,0,0,600
241,230,276,163,50,38,620
236,249,208,145,54,38,640
308,249,281,177,77,44,660
303,370,194,156,64,69,680
231,300,295,166,91,50,700
270,319,329,184,111,35,720
274,262,271,187,91,66,740
274,370,329,180,84,47,760
327,268,344,197,81,72,780
361,370,402,274,121,72,800
361,306,339,235,114,79,820
409,345,349,305,141,98,840
375,389,397,291,107,126,860
409,428,499,291,168,164,880
428,472,504,291,195,148,900
462,524,499,436,215,186,920
476,466,513,464,255,246,940
659,587,654,471,268,240,960
669,632,654,544,342,258,980
650,715,799,623,322,366,1000
736,683,930,627,362,344,1020
751,983,896,838,436,432,1040
881,913,1041,842,496,400,1060
967,907,920,904,533,470,1080
1141,849,1089,1112,594,501,1100
1275,1060,1462,1205,580,586,1120
1352,1271,1438,1413,725,725,1140
1410,1296,1690,1513,664,690,1160
1540,1481,1956,1739,748,715,1180
1810,1679,2305,1995,872,703,1200
2122,1954,2595,2345,922,734,1220
2551,1858,2784,2462,1090,700,1240
2599,2203,3481,2888,1214,832,1260
3114,2599,3767,3342,1218,747,1280
3600,3039,4450,3747,1416,1012,1300
4052,3352,4784,4346,1540,1002,1320
4601,4048,5878,5081,1634,1122,1340
5775,4942,6943,6078,2123,1314,1360
6454,5306,8178,7332,2409,1343,1380
7647,6085,9499,8100,2670,1447,1400
9640,7323,11422,9347,3328,1551,1420
10766,8594,13136,10629,3831,1900,1440
12508,10132,15648,12790,4532,1982,1460
13822,11065,17086,12637,4472,2181,1480
16522,13280,20195,14836,5270,2632,1500
18885,15195,22814,15577,5592,2628,1520
20753,16728,25787,16267,6199,2562,1540
22119,18579,27230,16052,6424,2401,1560
26350,21012,32221,16575,7420,2619,1580
28982,24153,35485,16939,8024,2818,1600
33930,27588,39542,17912,9550,3016,1620
36914,30627,45260,18466,10422,3227,1640
42622,34637,52348,20357,11764,3293,1660
49119,38953,58870,21631,13391,4239,1680
54471,44092,65997,24336,15625,4504,1700
